id,name,lat,lon,radius
1,Arsgrunnen,59.12124924,5.4300385,
2,Geitungen,59.11304175,5.24570539,0.80
3,Skallane,59.126527,5.15200109,0.80
4,Svortingen,59.2542259,5.10146542,0.80
5,Middagsnes,59.37830921,5.11160959,0.80
6,Kvaloytai,59.4158799,5.15745745,0.80
7,Bramsflua,59.46814521,5.15631353,0.70
8,None,59.42538805,5.22663018,0.80
9,None,59.41596493,5.23630737,0.80
10,None,59.41222713,5.24206075,0.80
11,None,59.4095211,5.24785873,0.80
