id,name,lat,lon,radius
1,StavangerWest,58.97756611,5.72598921,
2,Ulsnesgrunnen,58.98633212,5.71134896,2.00
3,Dusaviga,59.0034202,5.69128408,2.00
4,Mekjarvik,59.0315842,5.62486781,2.00
5,Gryda,59.04514792,5.59887,2.00
6,Sveinane,59.11010337,5.51029227,2.00
7,Arsgrunnen,59.12124917,5.43003904,2.00
8,Skudefjorden,59.09098201,5.31941936,2.00
